case_id	category	scenario	fov_deg	n_pieces	native_efl_mm	native_fnum	direction	target_f_number	source_zmx	rationale	outcome	aut_converged	efl_target_deviation_pct	post_aut_fno	refl_count	miss_count	aperture_conflict_matched	error_kind	error_detail	preflight	duration_seconds	lis_path
US10281683B2	wide	smartphone-wide	81.000	6	4.7060	1.680	tighten	1.600	US10281683B2.zmx	旗舰 TIR 案例：native F/1.68 全反射根因诊断的原始种子（见 .planning/debug/codev-target-convergence.md「诊断 v2」）。	TIR	True	0.0933536	1.6	7	3	None				5.41	.planning\loop\p15-stageb-evidence\US10281683B2\atelier_codev_target_probe_fno0160.lis
US10281683B2	wide	smartphone-wide	81.000	6	4.7060	1.680	loosen	2.180	US10281683B2.zmx	旗舰 TIR 案例：native F/1.68 全反射根因诊断的原始种子（见 .planning/debug/codev-target-convergence.md「诊断 v2」）。	TIR	True	0.103566	2.18	11	0	None				5.39	.planning\loop\p15-stageb-evidence\US10281683B2\atelier_codev_target_probe_fno0218.lis
US10281683B2	wide	smartphone-wide	81.000	6	4.7060	1.680	loosen	2.680	US10281683B2.zmx	旗舰 TIR 案例：native F/1.68 全反射根因诊断的原始种子（见 .planning/debug/codev-target-convergence.md「诊断 v2」）。	TIR	True	0.0396575	2.68	3	0	None				5.41	.planning\loop\p15-stageb-evidence\US10281683B2\atelier_codev_target_probe_fno0268.lis
US10281683B2	wide	smartphone-wide	81.000	6	4.7060	1.680	loosen	3.000	US10281683B2.zmx	旗舰 TIR 案例：native F/1.68 全反射根因诊断的原始种子（见 .planning/debug/codev-target-convergence.md「诊断 v2」）。	TIR	True	1e-05	3.0	1	0	None				6.44	.planning\loop\p15-stageb-evidence\US10281683B2\atelier_codev_target_probe_fno0300.lis
US20180143405A1	wide	smartphone-ultrawide	95.000	6	3.0730	1.860	tighten	1.800	US20180143405A1.zmx	最难 seed（95° FOV、S14 TIR flood 历史上曾致 autovig 全臂超时），边缘案例覆盖。	timeout	None	None	None	10	1	None	timeout	CODE V batch run exceeded its hard timeout		90.11	.planning\loop\p15-stageb-evidence\US20180143405A1\atelier_codev_target_probe_fno0180.lis
US20180143405A1	wide	smartphone-ultrawide	95.000	6	3.0730	1.860	loosen	2.360	US20180143405A1.zmx	最难 seed（95° FOV、S14 TIR flood 历史上曾致 autovig 全臂超时），边缘案例覆盖。	TIR	True	0.901803	2.36	5	2	None				3.41	.planning\loop\p15-stageb-evidence\US20180143405A1\atelier_codev_target_probe_fno0236.lis
US20180143405A1	wide	smartphone-ultrawide	95.000	6	3.0730	1.860	loosen	2.400	US20180143405A1.zmx	最难 seed（95° FOV、S14 TIR flood 历史上曾致 autovig 全臂超时），边缘案例覆盖。	TIR	True	1.23201	2.4	4	3	None				4.41	.planning\loop\p15-stageb-evidence\US20180143405A1\atelier_codev_target_probe_fno0240.lis
US10330891B2	wide	smartphone-ultrawide	100.000	6	2.4164	2.080	tighten	1.800	US10330891B2.zmx	已知 22 颗真机验证池内视场最宽（100°）。	TIR	True	0.0972085	1.8	4	1	None				3.38	.planning\loop\p15-stageb-evidence\US10330891B2\atelier_codev_target_probe_fno0180.lis
US10330891B2	wide	smartphone-ultrawide	100.000	6	2.4164	2.080	tighten	2.000	US10330891B2.zmx	已知 22 颗真机验证池内视场最宽（100°）。	TIR	True	1e-05	2.0	4	1	None				3.38	.planning\loop\p15-stageb-evidence\US10330891B2\atelier_codev_target_probe_fno0200.lis
US10330891B2	wide	smartphone-ultrawide	100.000	6	2.4164	2.080	loosen	2.400	US10330891B2.zmx	已知 22 颗真机验证池内视场最宽（100°）。	TIR	True	0.0709479	2.4	1	0	None				3.38	.planning\loop\p15-stageb-evidence\US10330891B2\atelier_codev_target_probe_fno0240.lis
US20210165194A1	wide	smartphone-ultrawide	95.000	5	2.4086	2.000	tighten	1.800	US20210165194A1.zmx	95° 超广角，5 片，native F/2.0 中庸参照。	timeout	None	None	None	7	1	None	timeout	CODE V batch run exceeded its hard timeout		90.11	.planning\loop\p15-stageb-evidence\US20210165194A1\atelier_codev_target_probe_fno0180.lis
